Employee No.,FROM,TO,Designation,Status,Annual Salary,Station/Place of Assignment,L/V and ABS Without Pay,Separation Cause/d,
5180379,07/01/07,12/31/07,TEACHER I,PERMANENT,"141,288.00",BANAYBANAY DISTRICT,,NBC 511,
5180379,01/01/08,06/30/08,TEACHER I,PERMANENT,"141,288.00",BANAYBANAY DISTRICT,,,
5180379,07/01/08,08/27/08,TEACHER I,PERMANENT,"155,412.00",BANAYBANAY DISTRICT,,NBC 516,
5180379,08/28/08,12/31/08,TEACHER I,PERMANENT,"159,300.00",BANAYBANAY DISTRICT,,step 5,
5180379,01/01/09,06/30/09,TEACHER I,PERMANENT,"159,300.00",BANAYBANAY DISTRICT,,,
5180379,07/01/09,12/31/09,TEACHER I,PERMANENT,"184,548.00",BANAYBANAY DISTRICT,,NBC 521,
5180379,01/01/10,06/23/10,TEACHER I,PERMANENT,"184,548.00",BANAYBANAY DISTRICT,,,
5180379,06/24/10,12/31/10,TEACHER I,PERMANENT,"200,244.00",BANAYBANAY DISTRICT,,NBC 524,
5180379,01/01/11,05/31/11,TEACHER I,PERMANENT,"200,244.00",BANAYBANAY DISTRICT,,,
5180379,06/01/11,08/27/11,TEACHER I,PERMANENT,"215,928.00",BANAYBANAY DISTRICT,,NBC 530,
5180379,08/28/11,12/31/11,TEACHER I,PERMANENT,"218,724.00",BANAYBANAY DISTRICT,,step 6,
5180379,01/01/12,05/31/12,TEACHER I,PERMANENT,"218,724.00",BANAYBANAY DISTRICT,,,
5180379,06/01/12,12/31/12,TEACHER I,PERMANENT,"233,940.00",BANAYBANAY DISTRICT,,NBC 540,
5180379,01/01/13,12/31/13,TEACHER I,PERMANENT,"233,940.00",BANAYBANAY DISTRICT,,,
5180379,01/01/14,08/27/14,TEACHER I,PERMANENT,"233,940.00",BANAYBANAY DISTRICT,,,
5180379,08/28/14,12/31/14,TEACHER I,PERMANENT,"236,280.00",BANAYBANAY DISTRICT,,step 7,
5180379,01/01/15,12/31/15,TEACHER I,PERMANENT,"236,280.00",BANAYBANAY DISTRICT,,,
5180379,01/01/16,12/31/16,TEACHER I,PERMANENT,"244,344.00",BANAYBANAY DISTRICT,,NBC 562,
5180379,01/01/17,08/27/17,TEACHER I,PERMANENT,"252,696.00",BANAYBANAY DISTRICT,,NBC 568,
5180379,08/28/17,12/31/17,TEACHER I,PERMANENT,"255,684.00",BANAYBANAY DISTRICT,,step 8,
5180379,01/01/18,11/04/18,TEACHER I,PERMANENT,"264,660.00",BANAYBANAY DISTRICT,,NBC 572,
5180379,11/05/18,12/31/18,TEACHER III,PERMANENT,"290,688.00",BANAYBANAY DISTRICT,,step 1,
5180379,01/01/19,12/31/19,TEACHER III,PERMANENT,"302,784.00",BANAYBANAY DISTRICT,,NBC 575,
5180379,01/01/20,12/31/20,TEACHER III,PERMANENT,"321,048.00",BANAYBANAY DISTRICT,,NBC 579,
5180379,01/01/21,11/04/21,TEACHER III,PERMANENT,"339,312.00",BANAYBANAY DISTRICT,,NBC 584,
5180379,11/05/21,12/31/21,TEACHER III,PERMANENT,"343,068.00",BANAYBANAY DISTRICT,,step 2,
5180379,01/01/22,12/31/22,TEACHER III,PERMANENT,"361,332.00",BANAYBANAY DISTRICT,,NBC 588,
5180379,01/01/23,present,TEACHER III,PERMANENT,"375,840.00",BANAYBANAY DISTRICT,,NBC 591,
7323170,11/09/21,12/31/21,TEACHER I,PERMANENT,"286,524.00",BANAYBANAY DISTRICT,,step 1,
7323170,01/01/22,12/31/22,TEACHER I,PERMANENT,"305,268.00",BANAYBANAY DISTRICT,,NBC 588,
7323170,01/01/23,present,TEACHER I,PERMANENT,"348,000.00",BANAYBANAY DISTRICT,,NBC 591,
5179383,11/23/92,12/31/92,TEACHER I,PERMANENT,"37,224.00",BANAYBANAY DISTRICT,,,
5179383,01/01/93,12/31/93,TEACHER I,PERMANENT,"37,224.00",BANAYBANAY DISTRICT,,,
5179383,01/01/94,12/31/94,TEACHER I,PERMANENT,"46,824.00",BANAYBANAY DISTRICT,,NCC 72,
5179383,01/01/95,11/22/95,TEACHER I,PERMANENT,"58,824.00",BANAYBANAY DISTRICT,,NCC 74,
5179383,11/23/95,12/31/95,TEACHER I,PERMANENT,"58,824.00",BANAYBANAY DISTRICT,,step 2,
5179383,01/01/96,12/31/96,TEACHER I,PERMANENT,"72,528.00",BANAYBANAY DISTRICT,,NBC 448,
5179383,01/01/97,10/31/97,TEACHER I,PERMANENT,"89,196.00",BANAYBANAY DISTRICT,,NBC 458 A,
5179383,11/01/97,12/31/97,TEACHER I,PERMANENT,"105,852.00",BANAYBANAY DISTRICT,,NBC 458 B,
5179383,01/01/98,11/22/98,TEACHER I,PERMANENT,"105,852.00",BANAYBANAY DISTRICT,,,
5179383,11/23/98,12/31/98,TEACHER I,PERMANENT,"108,492.00",BANAYBANAY DISTRICT,,step 3,
5179383,01/01/99,12/31/99,TEACHER I,PERMANENT,"108,492.00",BANAYBANAY DISTRICT,,,
5179383,01/01/00,12/31/00,TEACHER I,PERMANENT,"119,340.00",BANAYBANAY DISTRICT,,NBC 468,
5179383,01/01/01,06/30/01,TEACHER I,PERMANENT,"119,340.00",BANAYBANAY DISTRICT,,,
5179383,07/01/01,11/22/01,TEACHER I,PERMANENT,"125,304.00",BANAYBANAY DISTRICT,,NBC 474,
5179383,11/23/01,12/31/01,TEACHER I,PERMANENT,"128,448.00",BANAYBANAY DISTRICT,,step 4,
5179383,01/01/02,12/31/02,TEACHER I,PERMANENT,"128,448.00",BANAYBANAY DISTRICT,,,
5179383,01/01/03,12/31/03,TEACHER I,PERMANENT,"128,448.00",BANAYBANAY DISTRICT,,,
5179383,01/01/04,11/22/04,TEACHER I,PERMANENT,"128,448.00",BANAYBANAY DISTRICT,,,
5179383,11/23/04,12/31/04,TEACHER I,PERMANENT,"131,652.00",BANAYBANAY DISTRICT,,step 5,
5179383,01/01/05,12/31/05,TEACHER I,PERMANENT,"131,652.00",BANAYBANAY DISTRICT,,,
5179383,01/01/06,06/15/06,TEACHER I,PERMANENT,"131,652.00",BANAYBANAY DISTRICT,,,
5179383,06/16/06,12/31/06,TEACHER II,PERMANENT,"132,816.00",BANAYBANAY DISTRICT,,Promoted to  T-II Step 3,
5179383,01/01/07,06/30/07,TEACHER II,PERMANENT,"132,816.00",BANAYBANAY DISTRICT,,,
5179383,07/01/07,12/31/07,TEACHER II,PERMANENT,"146,100.00",BANAYBANAY DISTRICT,,NBC 511,
5179383,01/01/08,06/30/08,TEACHER II,PERMANENT,"146,100.00",BANAYBANAY DISTRICT,,,
5179383,07/01/08,12/31/08,TEACHER II,PERMANENT,"160,704.00",BANAYBANAY DISTRICT,,NBC 516,
5179383,01/01/09,06/15/09,TEACHER II,PERMANENT,"160,704.00",BANAYBANAY DISTRICT,,,
5179383,06/16/09,06/30/09,TEACHER II,PERMANENT,"164,712.00",BANAYBANAY DISTRICT,,step 4,
5179383,07/01/09,12/31/09,TEACHER II,PERMANENT,"192,600.00",BANAYBANAY DISTRICT,,NBC 521,
5179383,01/01/10,06/23/10,TEACHER II,PERMANENT,"192,600.00",BANAYBANAY DISTRICT,, ,
5179383,06/24/10,12/31/10,TEACHER II,PERMANENT,"210,576.00",BANAYBANAY DISTRICT,,NBC 524,
5179383,01/01/11,05/31/11,TEACHER II,PERMANENT,"210,576.00",BANAYBANAY DISTRICT,,,
5179383,06/01/11,12/31/11,TEACHER II,PERMANENT,"228,564.00",BANAYBANAY DISTRICT,,NBC 530,
5179383,01/01/12,02/20/12,TEACHER II,PERMANENT,"228,564.00",BANAYBANAY DISTRICT,,,
5179383,02/21/12,05/31/12,TEACHER III,PERMANENT,"235,896.00",BANAYBANAY DISTRICT,,Promoted to  T- III Step 1,
5179383,06/01/12,12/31/12,TEACHER III,PERMANENT,"257,232.00",BANAYBANAY DISTRICT,,NBC 540,
5179383,01/01/13,12/31/13,TEACHER III,PERMANENT,"257,232.00",BANAYBANAY DISTRICT,,,
5179383,01/01/14,12/31/14,TEACHER III,PERMANENT,"257,232.00",BANAYBANAY DISTRICT,,,
5179383,01/01/15,02/20/15,TEACHER III,PERMANENT,"257,232.00",BANAYBANAY DISTRICT,,,
5179383,02/21/15,12/31/15,TEACHER III,PERMANENT,"259,800.00",BANAYBANAY DISTRICT,,step 2,
5179383,01/01/16,01/03/16,TEACHER III,PERMANENT,"270,768.00",BANAYBANAY DISTRICT,,NBC 562,
5179383,01/04/16,12/31/16,HEAD TEACHER I,PERMANENT,"289,692.00",BANAYBANAY DISTRICT,,Promoted to  HT- I Step 1,
5179383,01/01/17,12/31/17,HEAD TEACHER I,PERMANENT,"303,480.00",BANAYBANAY DISTRICT,,NBC 568,
5179383,01/01/18,09/30/18,HEAD TEACHER I,PERMANENT,"317,928.00",BANAYBANAY DISTRICT,,NBC 572,
5179383,10/01/18,12/31/18,PRINCIPAL I,PERMANENT,"505,188.00",BANAYBANAY DISTRICT,,Promoted to  SP- I Step 1,
5179383,01/01/19,12/31/19,PRINCIPAL I,PERMANENT,"543,228.00",BANAYBANAY DISTRICT,,NBC 575,
5179383,01/01/20,12/31/20,PRINCIPAL I,PERMANENT,"561,492.00",BANAYBANAY DISTRICT,,NBC 579,
5179383,01/01/21,01/26/21,PRINCIPAL I,PERMANENT,"579,756.00",BANAYBANAY DISTRICT,,NBC 584,
5179383,01/27/21,12/31/21,PRINCIPAL II,PERMANENT,"651,012.00",BANAYBANAY DISTRICT,,Promoted to SP-II step 1,
5179383,01/01/22,12/31/22,PRINCIPAL II,PERMANENT,"669,588.00",BANAYBANAY DISTRICT,,NBC 588,
5179383,01/01/23,present,PRINCIPAL II,PERMANENT,"688,164.00",BANAYBANAY DISTRICT,,NBC 591,
9129828,08/06/18,12/31/18,TEACHER I,PERMANENT,"242,148.00",BANAYBANAY DISTRICT,,step 1,
9129828,01/01/19,12/31/19,TEACHER I,PERMANENT,"249,048.00",BANAYBANAY DISTRICT,,NBC 575,
9129828,01/01/20,12/31/20,TEACHER I,PERMANENT,"267,792.00",BANAYBANAY DISTRICT,,NBC 579,
9129828,01/01/21,08/05/21,TEACHER I,PERMANENT,"286,524.00",BANAYBANAY DISTRICT,,NBC 584,
9129828,08/06/21,12/31/21,TEACHER I,PERMANENT,"289,932.00",BANAYBANAY DISTRICT,,step 2,
9129828,01/01/22,08/16/22,TEACHER I,PERMANENT,"308,676.00",BANAYBANAY DISTRICT,,NBC 588,
9129828,08/17/22,12/31/22,TEACHER III,PERMANENT,"357,576.00",BANAYBANAY DISTRICT,,PROMOTED TO T-III STEP 1,
9129828,01/01/23,present ,TEACHER III,PERMANENT,"375,840.00",BANAYBANAY DISTRICT,,NBC 591,
7300970,07/28/99,12/31/99,TEACHER I,PERMANENT,"103,260.00",LORETO DISTRICT,,step 1,
7300970,01/01/00,12/31/00,TEACHER I,PERMANENT,"113,592.00",LORETO DISTRICT,,NBC 468,
7300970,01/01/01,06/30/01,TEACHER I,PERMANENT,"113,592.00",LORETO DISTRICT,,,
7300970,07/01/01,12/31/01,TEACHER I,PERMANENT,"119,268.00",LORETO DISTRICT,,NBC 474,
7300970,01/01/02,07/27/02,TEACHER I,PERMANENT,"119,268.00",LORETO DISTRICT,,,
7300970,07/28/02,12/31/02,TEACHER I,PERMANENT,"122,256.00",LORETO DISTRICT,,step 2,
7300970,01/01/03,12/31/03,TEACHER I,PERMANENT,"122,256.00",LORETO DISTRICT,,,
7300970,01/01/04,12/31/04,TEACHER I,PERMANENT,"122,256.00",LORETO DISTRICT,,,
7300970,01/01/05,07/27/05,TEACHER I,PERMANENT,"122,256.00",LORETO DISTRICT,,,
7300970,07/28/05,12/31/05,TEACHER I,PERMANENT,"125,304.00",LORETO DISTRICT,,step 3,
7300970,01/01/06,06/30/06,TEACHER I,PERMANENT,"125,304.00",LORETO DISTRICT,,,
7300970,07/01/06,12/31/06,TEACHER I,PERMANENT,"125,304.00",BANAYBANAY DISTRICT,, ,
7300970,01/01/07,06/30/07,TEACHER I,PERMANENT,"125,304.00",BANAYBANAY DISTRICT,,,
7300970,07/01/07,12/31/07,TEACHER I,PERMANENT,"137,832.00",BANAYBANAY DISTRICT,,NBC 511,
7300970,01/01/08,06/30/08,TEACHER I,PERMANENT,"137,832.00",BANAYBANAY DISTRICT,,,
7300970,07/01/08,07/27/08,TEACHER I,PERMANENT,"151,620.00",BANAYBANAY DISTRICT,,NBC 516,
7300970,07/28/08,12/31/08,TEACHER I,PERMANENT,"155,412.00",BANAYBANAY DISTRICT,,step 4,
7300970,01/01/09,06/30/09,TEACHER I,PERMANENT,"155,412.00",BANAYBANAY DISTRICT,,,
7300970,07/01/09,12/31/09,TEACHER I,PERMANENT,"180,864.00",BANAYBANAY DISTRICT,,NBC 521,
7300970,01/01/10,06/23/10,TEACHER I,PERMANENT,"180,864.00",BANAYBANAY DISTRICT,,,
7300970,06/24/10,12/31/10,TEACHER I,PERMANENT,"197,028.00",BANAYBANAY DISTRICT,,NBC 524,
7300970,01/01/11,05/31/11,TEACHER I,PERMANENT,"197,028.00",BANAYBANAY DISTRICT,,,
7300970,06/01/11,07/27/11,TEACHER I,PERMANENT,"213,180.00",BANAYBANAY DISTRICT,,NBC 530,
7300970,07/28/11,12/31/11,TEACHER I,PERMANENT,"215,928.00",BANAYBANAY DISTRICT,,step 5,
7300970,01/01/12,05/31/12,TEACHER I,PERMANENT,"215,928.00",BANAYBANAY DISTRICT,,,
7300970,06/01/12,12/31/12,TEACHER I,PERMANENT,"231,624.00",BANAYBANAY DISTRICT,,NBC 540,
7300970,01/01/13,12/31/13,TEACHER I,PERMANENT,"231,624.00",BANAYBANAY DISTRICT,,,
7300970,01/01/14,07/27/14,TEACHER I,PERMANENT,"231,624.00",BANAYBANAY DISTRICT,,,
7300970,07/28/14,12/31/14,TEACHER I,PERMANENT,"233,940.00",BANAYBANAY DISTRICT,,step 6,
7300970,01/01/15,12/31/15,TEACHER I,PERMANENT,"233,940.00",BANAYBANAY DISTRICT,,,
7300970,01/01/16,12/31/16,TEACHER I,PERMANENT,"241,704.00",BANAYBANAY DISTRICT,,NBC 562,
7300970,01/01/17,07/27/17,TEACHER I,PERMANENT,"249,732.00",BANAYBANAY DISTRICT,,NBC 568,
7300970,07/28/17,12/31/17,TEACHER I,PERMANENT,"252,696.00",BANAYBANAY DISTRICT,,step 7,
7300970,01/01/18,12/31/18,TEACHER I,PERMANENT,"261,324.00",BANAYBANAY DISTRICT,,NBC 572,
7300970,01/01/19,12/31/19,TEACHER I,PERMANENT,"270,240.00",BANAYBANAY DISTRICT,,NBC 575,
7300970,01/01/20,07/27/20,TEACHER I,PERMANENT,"270,240.00",BANAYBANAY DISTRICT,,NBC 579,
7300970,07/28/20,12/31/20,TEACHER I,PERMANENT," 292,692.00 ",BANAYBANAY DISTRICT,,step 8,
7300970,01/01/21,01/12/21,TEACHER I,PERMANENT," 311,424.00 ",BANAYBANAY DISTRICT,,NBC 584,
7300970,01/13/21,12/31/21,TEACHER III,PERMANENT," 339,312.00 ",BANAYBANAY DISTRICT,,PROMOTED TO T-III step 1,
7300970,01/01/22,12/31/22,TEACHER III,PERMANENT," 357,576.00 ",BANAYBANAY DISTRICT,,NBC 588,
7300970,1/1/2023,present,TEACHER III,PERMANENT," 375,840.00 ",BANAYBANAY DISTRICT,,NBC 591,
9129826,08/06/18,12/31/18,TEACHER I,PERMANENT,"242,148.00",BANAYBANAY DISTRICT,,step 1,
9129826,01/01/19,12/31/19,TEACHER I,PERMANENT,"249,048.00",BANAYBANAY DISTRICT,,NBC 575,
9129826,01/01/20,12/31/20,TEACHER I,PERMANENT,"267,792.00",BANAYBANAY DISTRICT,,NBC 579,
9129826,01/01/21,08/05/21,TEACHER I,PERMANENT,"286,524.00",BANAYBANAY DISTRICT,,NBC 584,
9129826,08/06/21,12/31/21,TEACHER I,PERMANENT,"289,932.00",BANAYBANAY DISTRICT,,step 2,
9129826,01/01/22,12/31/22,TEACHER I,PERMANENT,"308,676.00",BANAYBANAY DISTRICT,,NBC 588,
9129826,01/01/23,present,TEACHER I,PERMANENT,"327,408.00",BANAYBANAY DISTRICT,,NBC 591,
9130216,09/21/18,12/31/18,TEACHER I,PERMANENT,"242,148.00",BANAYBANAY DISTRICT,,step 1,
9130216,01/01/19,12/31/19,TEACHER I,PERMANENT,"249,048.00",BANAYBANAY DISTRICT,,NBC 575,
9130216,01/01/20,12/31/20,TEACHER I,PERMANENT,"267,792.00",BANAYBANAY DISTRICT,,NBC 579,
9130216,01/01/21,09/20/21,TEACHER I,PERMANENT,"286,524.00",BANAYBANAY DISTRICT,,NBC 584,
9130216,09/21/21,12/31/21,TEACHER I,PERMANENT,"289,932.00",BANAYBANAY DISTRICT,,step 2,
9130216,01/01/22,12/31/22,TEACHER I,PERMANENT,"308,676.00",BANAYBANAY DISTRICT,,NBC 588,
9130216,01/01/23,present,TEACHER I,PERMANENT,"327,408.00",BANAYBANAY DISTRICT,,NBC 591,
7903380,10/05/15,12/31/15,TEACHER I,PERMANENT,"222,588.00",BANAYBANAY DISTRICT,,step 1,
7903380,01/01/16,12/31/16,TEACHER I,PERMANENT,"228,924.00",BANAYBANAY DISTRICT,,NBC 562,
7903380,01/01/17,12/31/17,TEACHER I,PERMANENT,"235,440.00",BANAYBANAY DISTRICT,,NBC 568,
7903380,01/01/18,10/04/18,TEACHER I,PERMANENT,"242,148.00",BANAYBANAY DISTRICT,,NBC 572,
7903380,10/05/18,12/31/18,TEACHER I,PERMANENT,"245,244.00",BANAYBANAY DISTRICT,,step 2,
7903380,01/01/19,12/31/19,TEACHER I,PERMANENT,"252,456.00",BANAYBANAY DISTRICT,,NBC 575,
7903380,01/01/20,12/31/20,TEACHER I,PERMANENT,"271,200.00",BANAYBANAY DISTRICT,,NBC 579,
7903380,01/01/21,10/04/21,TEACHER I,PERMANENT,"289,932.00",BANAYBANAY DISTRICT,,NBC 584,
7903380,10/05/21,12/31/21,TEACHER I,PERMANENT,"293,400.00",BANAYBANAY DISTRICT,,step 3,
7903380,01/01/22,12/31/22,TEACHER I,PERMANENT,"312,144.00",BANAYBANAY DISTRICT,,NBC 588,
7903380,01/01/23,PRESENT,TEACHER I,PERMANENT,"330,876.00",BANAYBANAY DISTRICT,,NBC 591,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
